STATEFP,COUNTYFP,COUNTY,STATE
21,041,Carroll County,Kentucky
37,123,Montgomery County,North Carolina
56,045,Weston County,Wyoming
39,139,Richland County,Ohio
31,171,Thomas County,Nebraska
45,027,Clarendon County,South Carolina
36,085,Richmond County,New York
21,215,Spencer County,Kentucky
48,209,Hays County,Texas
36,117,Wayne County,New York
72,031,Carolina Municipio,Puerto Rico
37,117,Martin County,North Carolina
20,029,Cloud County,Kansas
46,005,Beadle County,South Dakota
18,161,Union County,Indiana
20,033,Comanche County,Kansas
51,077,Grayson County,Virginia
13,023,Bleckley County,Georgia
26,147,St. Clair County,Michigan
26,047,Emmet County,Michigan
72,009,Aibonito Municipio,Puerto Rico
38,011,Bowman County,North Dakota
18,069,Huntington County,Indiana
19,115,Louisa County,Iowa
17,141,Ogle County,Illinois
20,089,Jewell County,Kansas
20,143,Ottawa County,Kansas
20,201,Washington County,Kansas
40,125,Pottawatomie County,Oklahoma
47,127,Moore County,Tennessee
40,023,Choctaw County,Oklahoma
40,091,McIntosh County,Oklahoma
40,127,Pushmataha County,Oklahoma
51,155,Pulaski County,Virginia
51,185,Tazewell County,Virginia
54,095,Tyler County,West Virginia
54,049,Marion County,West Virginia
47,011,Bradley County,Tennessee
26,141,Presque Isle County,Michigan
29,157,Perry County,Missouri
51,800,Suffolk city,Virginia
48,461,Upton County,Texas
48,259,Kendall County,Texas
05,009,Boone County,Arkansas
20,019,Chautauqua County,Kansas
48,159,Franklin County,Texas
01,093,Marion County,Alabama
40,073,Kingfisher County,Oklahoma
48,149,Fayette County,Texas
42,013,Blair County,Pennsylvania
42,021,Cambria County,Pennsylvania
48,025,Bee County,Texas
46,073,Jerauld County,South Dakota
46,099,Minnehaha County,South Dakota
24,047,Worcester County,Maryland
48,133,Eastland County,Texas
48,103,Crane County,Texas
19,063,Emmet County,Iowa
19,077,Guthrie County,Iowa
48,125,Dickens County,Texas
26,081,Kent County,Michigan
27,067,Kandiyohi County,Minnesota
27,079,Le Sueur County,Minnesota
51,540,Charlottesville city,Virginia
19,083,Hardin County,Iowa
13,037,Calhoun County,Georgia
20,193,Thomas County,Kansas
08,105,Rio Grande County,Colorado
19,137,Montgomery County,Iowa
08,115,Sedgwick County,Colorado
31,155,Saunders County,Nebraska
13,311,White County,Georgia
13,175,Laurens County,Georgia
02,016,Aleutians West Census Area,Alaska
39,129,Pickaway County,Ohio
39,131,Pike County,Ohio
29,061,Daviess County,Missouri
48,337,Montague County,Texas
48,165,Gaines County,Texas
13,109,Evans County,Georgia
19,151,Pocahontas County,Iowa
34,015,Gloucester County,New Jersey
26,103,Marquette County,Michigan
38,069,Pierce County,North Dakota
27,065,Kanabec County,Minnesota
48,129,Donley County,Texas
42,011,Berks County,Pennsylvania
46,059,Hand County,South Dakota
46,071,Jackson County,South Dakota
19,027,Carroll County,Iowa
26,065,Ingham County,Michigan
06,047,Merced County,California
19,113,Linn County,Iowa
31,001,Adams County,Nebraska
13,135,Gwinnett County,Georgia
06,049,Modoc County,California
13,015,Bartow County,Georgia
13,191,McIntosh County,Georgia
13,281,Towns County,Georgia
48,197,Hardeman County,Texas
42,005,Armstrong County,Pennsylvania
17,137,Morgan County,Illinois
19,039,Clarke County,Iowa
13,021,Bibb County,Georgia
72,121,Sabana Grande Municipio,Puerto Rico
19,163,Scott County,Iowa
20,117,Marshall County,Kansas
36,023,Cortland County,New York
48,477,Washington County,Texas
54,013,Calhoun County,West Virginia
54,021,Gilmer County,West Virginia
48,267,Kimble County,Texas
08,059,Jefferson County,Colorado
17,039,De Witt County,Illinois
22,073,Ouachita Parish,Louisiana
47,023,Chester County,Tennessee
48,033,Borden County,Texas
28,075,Lauderdale County,Mississippi
26,107,Mecosta County,Michigan
31,167,Stanton County,Nebraska
55,121,Trempealeau County,Wisconsin
29,075,Gentry County,Missouri
35,011,De Baca County,New Mexico
20,139,Osage County,Kansas
18,133,Putnam County,Indiana
21,225,Union County,Kentucky
45,061,Lee County,South Carolina
18,171,Warren County,Indiana
19,175,Union County,Iowa
19,011,Benton County,Iowa
51,057,Essex County,Virginia
41,029,Jackson County,Oregon
42,067,Juniata County,Pennsylvania
34,019,Hunterdon County,New Jersey
48,163,Frio County,Texas
37,071,Gaston County,North Carolina
26,127,Oceana County,Michigan
48,013,Atascosa County,Texas
19,045,Clinton County,Iowa
17,037,DeKalb County,Illinois
26,067,Ionia County,Michigan
29,173,Ralls County,Missouri
13,035,Butts County,Georgia
19,149,Plymouth County,Iowa
08,043,Fremont County,Colorado
48,257,Kaufman County,Texas
13,027,Brooks County,Georgia
72,127,San Juan Municipio,Puerto Rico
17,135,Montgomery County,Illinois
72,001,Adjuntas Municipio,Puerto Rico
54,005,Boone County,West Virginia
12,117,Seminole County,Florida
13,131,Grady County,Georgia
46,105,Perkins County,South Dakota
01,059,Franklin County,Alabama
48,147,Fannin County,Texas
42,121,Venango County,Pennsylvania
55,067,Langlade County,Wisconsin
17,127,Massac County,Illinois
12,095,Orange County,Florida
42,023,Cameron County,Pennsylvania
51,173,Smyth County,Virginia
28,009,Benton County,Mississippi
26,021,Berrien County,Michigan
17,047,Edwards County,Illinois
40,133,Seminole County,Oklahoma
72,091,Manatí Municipio,Puerto Rico
18,115,Ohio County,Indiana
08,005,Arapahoe County,Colorado
20,053,Ellsworth County,Kansas
48,065,Carson County,Texas
20,025,Clark County,Kansas
28,087,Lowndes County,Mississippi
29,069,Dunklin County,Missouri
31,097,Johnson County,Nebraska
34,021,Mercer County,New Jersey
45,091,York County,South Carolina
21,087,Green County,Kentucky
31,165,Sioux County,Nebraska
19,081,Hancock County,Iowa
17,097,Lake County,Illinois
05,051,Garland County,Arkansas
18,065,Henry County,Indiana
29,175,Randolph County,Missouri
18,055,Greene County,Indiana
20,021,Cherokee County,Kansas
18,011,Boone County,Indiana
31,137,Phelps County,Nebraska
20,153,Rawlins County,Kansas
48,433,Stonewall County,Texas
36,107,Tioga County,New York
31,183,Wheeler County,Nebraska
31,077,Greeley County,Nebraska
51,197,Wythe County,Virginia
29,089,Howard County,Missouri
18,141,St. Joseph County,Indiana
48,419,Shelby County,Texas
40,137,Stephens County,Oklahoma
35,047,San Miguel County,New Mexico
29,101,Johnson County,Missouri
31,003,Antelope County,Nebraska
22,079,Rapides Parish,Louisiana
48,071,Chambers County,Texas
19,147,Palo Alto County,Iowa
47,187,Williamson County,Tennessee
41,033,Josephine County,Oregon
18,023,Clinton County,Indiana
29,221,Washington County,Missouri
39,155,Trumbull County,Ohio
31,163,Sherman County,Nebraska
21,199,Pulaski County,Kentucky
26,025,Calhoun County,Michigan
17,117,Macoupin County,Illinois
38,021,Dickey County,North Dakota
56,033,Sheridan County,Wyoming
37,085,Harnett County,North Carolina
38,077,Richland County,North Dakota
20,051,Ellis County,Kansas
51,660,Harrisonburg city,Virginia
05,119,Pulaski County,Arkansas
72,049,Culebra Municipio,Puerto Rico
20,087,Jefferson County,Kansas
36,087,Rockland County,New York
36,039,Greene County,New York
29,085,Hickory County,Missouri
27,121,Pope County,Minnesota
37,015,Bertie County,North Carolina
18,091,LaPorte County,Indiana
19,135,Monroe County,Iowa
45,063,Lexington County,South Carolina
51,097,King and Queen County,Virginia
48,161,Freestone County,Texas
26,039,Crawford County,Michigan
22,061,Lincoln Parish,Louisiana
31,179,Wayne County,Nebraska
37,125,Moore County,North Carolina
45,001,Abbeville County,South Carolina
46,047,Fall River County,South Dakota
24,510,Baltimore city,Maryland
47,101,Lewis County,Tennessee
08,081,Moffat County,Colorado
13,301,Warren County,Georgia
13,209,Montgomery County,Georgia
05,107,Phillips County,Arkansas
27,113,Pennington County,Minnesota
08,067,La Plata County,Colorado
39,059,Guernsey County,Ohio
05,061,Howard County,Arkansas
40,009,Beckham County,Oklahoma
40,039,Custer County,Oklahoma
26,135,Oscoda County,Michigan
40,021,Cherokee County,Oklahoma
40,087,McClain County,Oklahoma
51,031,Campbell County,Virginia
19,005,Allamakee County,Iowa
48,301,Loving County,Texas
48,253,Jones County,Texas
05,103,Ouachita County,Arkansas
37,103,Jones County,North Carolina
12,073,Leon County,Florida
08,011,Bent County,Colorado
28,141,Tishomingo County,Mississippi
28,131,Stone County,Mississippi
38,039,Griggs County,North Dakota
13,085,Dawson County,Georgia
48,121,Denton County,Texas
28,139,Tippah County,Mississippi
13,223,Paulding County,Georgia
27,081,Lincoln County,Minnesota
39,079,Jackson County,Ohio
31,007,Banner County,Nebraska
18,013,Brown County,Indiana
72,139,Trujillo Alto Municipio,Puerto Rico
19,133,Monona County,Iowa
30,031,Gallatin County,Montana
42,015,Bradford County,Pennsylvania
13,165,Jenkins County,Georgia
51,775,Salem city,Virginia
21,045,Casey County,Kentucky
37,143,Perquimans County,North Carolina
28,159,Winston County,Mississippi
17,041,Douglas County,Illinois
19,097,Jackson County,Iowa
28,081,Lee County,Mississippi
72,029,Canóvanas Municipio,Puerto Rico
17,003,Alexander County,Illinois
21,179,Nelson County,Kentucky
72,077,Juncos Municipio,Puerto Rico
20,079,Harvey County,Kansas
27,083,Lyon County,Minnesota
16,027,Canyon County,Idaho
29,039,Cedar County,Missouri
05,123,St. Francis County,Arkansas
42,075,Lebanon County,Pennsylvania
21,227,Warren County,Kentucky
12,043,Glades County,Florida
13,245,Richmond County,Georgia
37,059,Davie County,North Carolina
05,097,Montgomery County,Arkansas
17,105,Livingston County,Illinois
72,123,Salinas Municipio,Puerto Rico
18,067,Howard County,Indiana
42,115,Susquehanna County,Pennsylvania
42,059,Greene County,Pennsylvania
54,061,Monongalia County,West Virginia
29,171,Putnam County,Missouri
12,007,Bradford County,Florida
51,720,Norton city,Virginia
48,115,Dawson County,Texas
08,041,El Paso County,Colorado
48,417,Shackelford County,Texas
55,101,Racine County,Wisconsin
36,009,Cattaraugus County,New York
20,005,Atchison County,Kansas
53,055,San Juan County,Washington
27,169,Winona County,Minnesota
54,069,Ohio County,West Virginia
13,195,Madison County,Georgia
17,181,Union County,Illinois
13,211,Morgan County,Georgia
28,091,Marion County,Mississippi
47,099,Lawrence County,Tennessee
41,011,Coos County,Oregon
46,079,Lake County,South Dakota
17,063,Grundy County,Illinois
26,057,Gratiot County,Michigan
48,075,Childress County,Texas
20,039,Decatur County,Kansas
51,005,Alleghany County,Virginia
29,201,Scott County,Missouri
06,073,San Diego County,California
17,161,Rock Island County,Illinois
18,019,Clark County,Indiana
21,117,Kenton County,Kentucky
21,055,Crittenden County,Kentucky
24,009,Calvert County,Maryland
27,155,Traverse County,Minnesota
28,055,Issaquena County,Mississippi
29,081,Harrison County,Missouri
35,006,Cibola County,New Mexico
39,123,Ottawa County,Ohio
40,135,Sequoyah County,Oklahoma
42,101,Philadelphia County,Pennsylvania
46,101,Moody County,South Dakota
40,139,Texas County,Oklahoma
55,109,St. Croix County,Wisconsin
01,055,Etowah County,Alabama
02,170,Matanuska-Susitna Borough,Alaska
05,029,Conway County,Arkansas
05,013,Calhoun County,Arkansas
21,073,Franklin County,Kentucky
42,031,Clarion County,Pennsylvania
55,115,Shawano County,Wisconsin
01,069,Houston County,Alabama
01,033,Colbert County,Alabama
12,111,St. Lucie County,Florida
13,103,Effingham County,Georgia
17,031,Cook County,Illinois
20,011,Bourbon County,Kansas
20,189,Stevens County,Kansas
22,071,Orleans Parish,Louisiana
25,011,Franklin County,Massachusetts
26,069,Iosco County,Michigan
34,029,Ocean County,New Jersey
30,085,Roosevelt County,Montana
37,089,Henderson County,North Carolina
36,065,Oneida County,New York
39,095,Lucas County,Ohio
48,181,Grayson County,Texas
01,085,Lowndes County,Alabama
06,021,Glenn County,California
28,051,Holmes County,Mississippi
30,033,Garfield County,Montana
28,151,Washington County,Mississippi
26,005,Allegan County,Michigan
28,125,Sharkey County,Mississippi
31,159,Seward County,Nebraska
29,033,Carroll County,Missouri
35,051,Sierra County,New Mexico
38,061,Mountrail County,North Dakota
39,071,Highland County,Ohio
45,089,Williamsburg County,South Carolina
46,085,Lyman County,South Dakota
48,335,Mitchell County,Texas
48,467,Van Zandt County,Texas
48,193,Hamilton County,Texas
55,057,Juneau County,Wisconsin
55,009,Brown County,Wisconsin
72,105,Naranjito Municipio,Puerto Rico
02,063,Chugach Census Area,Alaska
55,019,Clark County,Wisconsin
40,075,Kiowa County,Oklahoma
17,009,Brown County,Illinois
06,113,Yolo County,California
17,001,Adams County,Illinois
08,087,Morgan County,Colorado
36,019,Clinton County,New York
54,003,Berkeley County,West Virginia
55,045,Green County,Wisconsin
13,107,Emanuel County,Georgia
13,155,Irwin County,Georgia
55,039,Fond du Lac County,Wisconsin
20,145,Pawnee County,Kansas
28,161,Yalobusha County,Mississippi
27,165,Watonwan County,Minnesota
36,015,Chemung County,New York
28,033,DeSoto County,Mississippi
38,027,Eddy County,North Dakota
31,065,Furnas County,Nebraska
28,037,Franklin County,Mississippi
42,049,Erie County,Pennsylvania
31,067,Gage County,Nebraska
31,039,Cuming County,Nebraska
48,327,Menard County,Texas
24,015,Cecil County,Maryland
55,131,Washington County,Wisconsin
16,051,Jefferson County,Idaho
48,045,Briscoe County,Texas
38,045,LaMoure County,North Dakota
48,269,King County,Texas
29,027,Callaway County,Missouri
20,023,Cheyenne County,Kansas
48,169,Garza County,Texas
55,077,Marquette County,Wisconsin
13,153,Houston County,Georgia
17,095,Knox County,Illinois
26,013,Baraga County,Michigan
72,117,Rincón Municipio,Puerto Rico
19,139,Muscatine County,Iowa
01,103,Morgan County,Alabama
51,199,York County,Virginia
51,003,Albemarle County,Virginia
72,131,San Sebastián Municipio,Puerto Rico
51,131,Northampton County,Virginia
21,015,Boone County,Kentucky
31,161,Sheridan County,Nebraska
05,067,Jackson County,Arkansas
06,099,Stanislaus County,California
18,083,Knox County,Indiana
37,183,Wake County,North Carolina
20,067,Grant County,Kansas
28,059,Jackson County,Mississippi
28,071,Lafayette County,Mississippi
39,029,Columbiana County,Ohio
29,219,Warren County,Missouri
48,407,San Jacinto County,Texas
06,109,Tuolumne County,California
13,071,Colquitt County,Georgia
13,141,Hancock County,Georgia
17,029,Coles County,Illinois
17,167,Sangamon County,Illinois
18,119,Owen County,Indiana
20,055,Finney County,Kansas
29,163,Pike County,Missouri
35,005,Chaves County,New Mexico
29,135,Moniteau County,Missouri
30,027,Fergus County,Montana
27,093,Meeker County,Minnesota
35,053,Socorro County,New Mexico
37,127,Nash County,North Carolina
46,117,Stanley County,South Dakota
47,105,Loudon County,Tennessee
47,175,Van Buren County,Tennessee
48,305,Lynn County,Texas
51,115,Mathews County,Virginia
54,057,Mineral County,West Virginia
54,053,Mason County,West Virginia
16,009,Benewah County,Idaho
16,029,Caribou County,Idaho
18,181,White County,Indiana
26,033,Chippewa County,Michigan
12,133,Washington County,Florida
48,403,Sabine County,Texas
48,347,Nacogdoches County,Texas
51,683,Manassas city,Virginia
05,005,Baxter County,Arkansas
06,065,Riverside County,California
06,097,Sonoma County,California
13,147,Hart County,Georgia
16,033,Clark County,Idaho
18,043,Floyd County,Indiana
21,003,Allen County,Kentucky
21,101,Henderson County,Kentucky
24,011,Caroline County,Maryland
29,099,Jefferson County,Missouri
30,067,Park County,Montana
31,147,Richardson County,Nebraska
35,037,Quay County,New Mexico
38,001,Adams County,North Dakota
48,077,Clay County,Texas
41,065,Wasco County,Oregon
51,169,Scott County,Virginia
51,175,Southampton County,Virginia
55,117,Sheboygan County,Wisconsin
37,099,Jackson County,North Carolina
06,107,Tulare County,California
02,070,Dillingham Census Area,Alaska
37,087,Haywood County,North Carolina
04,007,Gila County,Arizona
06,007,Butte County,California
12,097,Osceola County,Florida
17,111,McHenry County,Illinois
18,009,Blackford County,Indiana
21,063,Elliott County,Kentucky
28,073,Lamar County,Mississippi
18,079,Jennings County,Indiana
29,051,Cole County,Missouri
31,035,Clay County,Nebraska
36,027,Dutchess County,New York
38,071,Ramsey County,North Dakota
39,103,Medina County,Ohio
40,121,Pittsburg County,Oklahoma
42,063,Indiana County,Pennsylvania
45,055,Kershaw County,South Carolina
48,171,Gillespie County,Texas
48,439,Tarrant County,Texas
48,397,Rockwall County,Texas
51,037,Charlotte County,Virginia
51,147,Prince Edward County,Virginia
53,053,Pierce County,Washington
06,029,Kern County,California
12,067,Lafayette County,Florida
13,113,Fayette County,Georgia
16,013,Blaine County,Idaho
18,143,Scott County,Indiana
20,031,Coffey County,Kansas
21,097,Harrison County,Kentucky
22,097,St. Landry Parish,Louisiana
27,003,Anoka County,Minnesota
29,195,Saline County,Missouri
30,021,Dawson County,Montana
31,149,Rock County,Nebraska
31,075,Grant County,Nebraska
38,063,Nelson County,North Dakota
51,063,Floyd County,Virginia
40,007,Beaver County,Oklahoma
48,339,Montgomery County,Texas
51,137,Orange County,Virginia
72,007,Aguas Buenas Municipio,Puerto Rico
51,015,Augusta County,Virginia
54,087,Roane County,West Virginia
13,083,Dade County,Georgia
16,023,Butte County,Idaho
05,023,Cleburne County,Arkansas
18,159,Tipton County,Indiana
08,093,Park County,Colorado
26,095,Luce County,Michigan
27,125,Red Lake County,Minnesota
13,171,Lamar County,Georgia
13,047,Catoosa County,Georgia
02,150,Kodiak Island Borough,Alaska
05,085,Lonoke County,Arkansas
12,119,Sumter County,Florida
13,121,Fulton County,Georgia
15,007,Kauai County,Hawaii
18,097,Marion County,Indiana
29,087,Holt County,Missouri
21,033,Caldwell County,Kentucky
30,045,Judith Basin County,Montana
22,083,Richland Parish,Louisiana
13,169,Jones County,Georgia
26,137,Otsego County,Michigan
31,113,Logan County,Nebraska
38,037,Grant County,North Dakota
40,063,Hughes County,Oklahoma
42,033,Clearfield County,Pennsylvania
46,095,Mellette County,South Dakota
48,383,Reagan County,Texas
48,459,Upshur County,Texas
51,019,Bedford County,Virginia
39,173,Wood County,Ohio
39,121,Noble County,Ohio
48,199,Hardin County,Texas
41,031,Jefferson County,Oregon
01,003,Baldwin County,Alabama
04,015,Mohave County,Arizona
04,019,Pima County,Arizona
08,023,Costilla County,Colorado
12,037,Franklin County,Florida
18,153,Sullivan County,Indiana
19,119,Lyon County,Iowa
13,055,Chattooga County,Georgia
21,145,McCracken County,Kentucky
29,197,Schuyler County,Missouri
31,015,Boyd County,Nebraska
32,003,Clark County,Nevada
33,009,Grafton County,New Hampshire
36,055,Monroe County,New York
39,145,Scioto County,Ohio
40,035,Craig County,Oklahoma
45,003,Aiken County,South Carolina
50,003,Bennington County,Vermont
46,053,Gregory County,South Dakota
20,187,Stanton County,Kansas
21,155,Marion County,Kentucky
48,463,Uvalde County,Texas
51,135,Nottoway County,Virginia
72,135,Toa Alta Municipio,Puerto Rico
04,005,Coconino County,Arizona
06,111,Ventura County,California
09,009,New Haven County,Connecticut
16,031,Cassia County,Idaho
18,147,Spencer County,Indiana
21,223,Trimble County,Kentucky
18,173,Warrick County,Indiana
25,003,Berkshire County,Massachusetts
28,041,Greene County,Mississippi
29,005,Atchison County,Missouri
35,031,McKinley County,New Mexico
36,057,Montgomery County,New York
37,037,Chatham County,North Carolina
42,095,Northampton County,Pennsylvania
47,137,Pickett County,Tennessee
12,045,Gulf County,Florida
53,071,Walla Walla County,Washington
01,027,Clay County,Alabama
02,090,Fairbanks North Star Borough,Alaska
05,037,Cross County,Arkansas
16,073,Owyhee County,Idaho
26,043,Dickinson County,Michigan
30,041,Hill County,Montana
32,005,Douglas County,Nevada
35,007,Colfax County,New Mexico
35,023,Hidalgo County,New Mexico
37,007,Anson County,North Carolina
36,053,Madison County,New York
40,001,Adair County,Oklahoma
01,013,Butler County,Alabama
01,117,Shelby County,Alabama
13,017,Ben Hill County,Georgia
13,217,Newton County,Georgia
13,167,Johnson County,Georgia
19,195,Worth County,Iowa
20,157,Republic County,Kansas
21,147,McCreary County,Kentucky
22,085,Sabine Parish,Louisiana
29,510,St. Louis city,Missouri
29,143,New Madrid County,Missouri
30,009,Carbon County,Montana
34,017,Hudson County,New Jersey
37,119,Mecklenburg County,North Carolina
41,055,Sherman County,Oregon
39,025,Clermont County,Ohio
12,033,Escambia County,Florida
45,005,Allendale County,South Carolina
01,127,Walker County,Alabama
02,158,Kusilvak Census Area,Alaska
17,089,Kane County,Illinois
17,099,LaSalle County,Illinois
18,183,Whitley County,Indiana
19,091,Humboldt County,Iowa
21,229,Washington County,Kentucky
21,119,Knott County,Kentucky
28,111,Perry County,Mississippi
17,121,Marion County,Illinois
21,103,Henry County,Kentucky
21,049,Clark County,Kentucky
21,209,Scott County,Kentucky
27,059,Isanti County,Minnesota
18,005,Bartholomew County,Indiana
29,083,Henry County,Missouri
28,153,Wayne County,Mississippi
22,059,LaSalle Parish,Louisiana
37,023,Burke County,North Carolina
39,149,Shelby County,Ohio
39,075,Holmes County,Ohio
42,079,Luzerne County,Pennsylvania
45,087,Union County,South Carolina
51,125,Nelson County,Virginia
53,077,Yakima County,Washington
21,191,Pendleton County,Kentucky
31,047,Dawson County,Nebraska
16,039,Elmore County,Idaho
26,145,Saginaw County,Michigan
18,123,Perry County,Indiana
12,113,Santa Rosa County,Florida
28,107,Panola County,Mississippi
28,157,Wilkinson County,Mississippi
21,153,Magoffin County,Kentucky
46,021,Campbell County,South Dakota
47,185,White County,Tennessee
56,009,Converse County,Wyoming
72,051,Dorado Municipio,Puerto Rico
13,213,Murray County,Georgia
16,055,Kootenai County,Idaho
51,760,Richmond city,Virginia
51,029,Buckingham County,Virginia
54,027,Hampshire County,West Virginia
55,037,Florence County,Wisconsin
53,019,Ferry County,Washington
13,293,Upson County,Georgia
05,035,Crittenden County,Arkansas
26,117,Montcalm County,Michigan
26,055,Grand Traverse County,Michigan
27,005,Becker County,Minnesota
27,133,Rock County,Minnesota
27,173,Yellow Medicine County,Minnesota
29,183,St. Charles County,Missouri
21,159,Martin County,Kentucky
48,123,DeWitt County,Texas
48,357,Ochiltree County,Texas
51,580,Covington city,Virginia
51,195,Wise County,Virginia
47,143,Rhea County,Tennessee
47,033,Crockett County,Tennessee
05,055,Greene County,Arkansas
06,037,Los Angeles County,California
08,107,Routt County,Colorado
13,233,Polk County,Georgia
17,151,Pope County,Illinois
21,231,Wayne County,Kentucky
06,053,Monterey County,California
13,087,Decatur County,Georgia
19,111,Lee County,Iowa
20,007,Barber County,Kansas
20,075,Hamilton County,Kansas
23,003,Aroostook County,Maine
25,021,Norfolk County,Massachusetts
26,003,Alger County,Michigan
22,115,Vernon Parish,Louisiana
36,047,Kings County,New York
35,033,Mora County,New Mexico
40,089,McCurtain County,Oklahoma
41,021,Gilliam County,Oregon
41,045,Malheur County,Oregon
44,003,Kent County,Rhode Island
46,083,Lincoln County,South Dakota
01,035,Conecuh County,Alabama
13,097,Douglas County,Georgia
13,189,McDuffie County,Georgia
16,085,Valley County,Idaho
18,071,Jackson County,Indiana
19,001,Adair County,Iowa
20,069,Gray County,Kansas
21,051,Clay County,Kentucky
21,081,Grant County,Kentucky
27,145,Stearns County,Minnesota
48,241,Jasper County,Texas
48,465,Val Verde County,Texas
48,277,Lamar County,Texas
40,145,Wagoner County,Oklahoma
49,019,Grand County,Utah
46,037,Day County,South Dakota
55,033,Dunn County,Wisconsin
47,091,Johnson County,Tennessee
45,049,Hampton County,South Carolina
47,135,Perry County,Tennessee
47,147,Robertson County,Tennessee
30,043,Jefferson County,Montana
30,059,Meagher County,Montana
55,097,Portage County,Wisconsin
47,171,Unicoi County,Tennessee
36,029,Erie County,New York
51,121,Montgomery County,Virginia
28,017,Chickasaw County,Mississippi
18,155,Switzerland County,Indiana
18,177,Wayne County,Indiana
21,239,Woodford County,Kentucky
04,027,Yuma County,Arizona
46,007,Bennett County,South Dakota
37,187,Washington County,North Carolina
72,073,Jayuya Municipio,Puerto Rico
47,177,Warren County,Tennessee
18,059,Hancock County,Indiana
29,215,Texas County,Missouri
31,073,Gosper County,Nebraska
27,163,Washington County,Minnesota
42,077,Lehigh County,Pennsylvania
48,471,Walker County,Texas
46,111,Sanborn County,South Dakota
47,003,Bedford County,Tennessee
48,227,Howard County,Texas
48,061,Cameron County,Texas
56,013,Fremont County,Wyoming
53,037,Kittitas County,Washington
15,005,Kalawao County,Hawaii
05,033,Crawford County,Arkansas
31,051,Dixon County,Nebraska
17,133,Monroe County,Illinois
17,059,Gallatin County,Illinois
34,003,Bergen County,New Jersey
37,013,Beaufort County,North Carolina
19,169,Story County,Iowa
37,091,Hertford County,North Carolina
13,139,Hall County,Georgia
29,151,Osage County,Missouri
29,115,Linn County,Missouri
13,049,Charlton County,Georgia
13,011,Banks County,Georgia
21,127,Lawrence County,Kentucky
48,001,Anderson County,Texas
30,013,Cascade County,Montana
31,009,Blaine County,Nebraska
28,003,Alcorn County,Mississippi
36,121,Wyoming County,New York
39,009,Athens County,Ohio
50,007,Chittenden County,Vermont
47,189,Wilson County,Tennessee
48,139,Ellis County,Texas
48,027,Bell County,Texas
49,011,Davis County,Utah
40,117,Pawnee County,Oklahoma
49,027,Millard County,Utah
55,133,Waukesha County,Wisconsin
51,107,Loudoun County,Virginia
56,023,Lincoln County,Wyoming
54,043,Lincoln County,West Virginia
31,027,Cedar County,Nebraska
35,019,Guadalupe County,New Mexico
08,017,Cheyenne County,Colorado
39,047,Fayette County,Ohio
39,159,Union County,Ohio
48,051,Burleson County,Texas
51,735,Poquoson city,Virginia
46,129,Walworth County,South Dakota
55,125,Vilas County,Wisconsin
01,129,Washington County,Alabama
08,063,Kit Carson County,Colorado
12,071,Lee County,Florida
09,011,New London County,Connecticut
18,167,Vigo County,Indiana
01,029,Cleburne County,Alabama
22,033,East Baton Rouge Parish,Louisiana
01,001,Autauga County,Alabama
01,097,Mobile County,Alabama
26,011,Arenac County,Michigan
48,307,McCulloch County,Texas
26,125,Oakland County,Michigan
72,103,Naguabo Municipio,Puerto Rico
72,059,Guayanilla Municipio,Puerto Rico
72,003,Aguada Municipio,Puerto Rico
28,025,Clay County,Mississippi
46,089,McPherson County,South Dakota
28,039,George County,Mississippi
53,041,Lewis County,Washington
72,071,Isabela Municipio,Puerto Rico
72,093,Maricao Municipio,Puerto Rico
72,119,Río Grande Municipio,Puerto Rico
54,075,Pocahontas County,West Virginia
72,085,Las Piedras Municipio,Puerto Rico
54,081,Raleigh County,West Virginia
54,109,Wyoming County,West Virginia
29,111,Lewis County,Missouri
04,003,Cochise County,Arizona
38,015,Burleigh County,North Dakota
46,107,Potter County,South Dakota
40,151,Woods County,Oklahoma
47,013,Campbell County,Tennessee
38,057,Mercer County,North Dakota
45,069,Marlboro County,South Carolina
38,085,Sioux County,North Dakota
34,005,Burlington County,New Jersey
06,001,Alameda County,California
49,053,Washington County,Utah
21,061,Edmonson County,Kentucky
06,005,Amador County,California
21,125,Laurel County,Kentucky
47,157,Shelby County,Tennessee
47,167,Tipton County,Tennessee
20,133,Neosho County,Kansas
21,135,Lewis County,Kentucky
20,205,Wilson County,Kansas
26,071,Iron County,Michigan
21,141,Logan County,Kentucky
20,203,Wichita County,Kansas
21,143,Lyon County,Kentucky
27,045,Fillmore County,Minnesota
48,325,Medina County,Texas
27,063,Jackson County,Minnesota
21,173,Montgomery County,Kentucky
49,049,Utah County,Utah
20,165,Rush County,Kansas
50,015,Lamoille County,Vermont
53,029,Island County,Washington
31,107,Knox County,Nebraska
50,013,Grand Isle County,Vermont
51,820,Waynesboro city,Virginia
13,069,Coffee County,Georgia
32,019,Lyon County,Nevada
35,001,Bernalillo County,New Mexico
72,109,Patillas Municipio,Puerto Rico
19,131,Mitchell County,Iowa
19,049,Dallas County,Iowa
72,133,Santa Isabel Municipio,Puerto Rico
12,115,Sarasota County,Florida
16,069,Nez Perce County,Idaho
20,119,Meade County,Kansas
21,075,Fulton County,Kentucky
23,007,Franklin County,Maine
33,015,Rockingham County,New Hampshire
36,063,Niagara County,New York
42,039,Crawford County,Pennsylvania
39,105,Meigs County,Ohio
48,387,Red River County,Texas
39,053,Gallia County,Ohio
46,135,Yankton County,South Dakota
